Country,Tax_Rate
Albania ,20
Algeria ,19
Angola ,14
Argentina ,21
Armenia ,20
Australia ,10
Austria ,20
Azerbaijan ,18
Bahrain ,10
Barbados ,17.5
Belgium ,21
Bermuda ,
Bolivia ,13
Bosnia and Herzegovina ,17
Botswana ,12
Brazil ,20
Bulgaria ,20
Cabo Verde ,15
Cambodia ,10
Cameroon Republic of ,19.25
Canada ,15
Cayman Islands ,
Chad ,18
Chile ,19
China People's Republic of ,13
Colombia ,19
Congo Democratic Republic of the ,16
Congo Republic of ,18.9
Costa Rica ,13
Croatia ,25
Cyprus ,19
Czech Republic ,21
Denmark ,25
Dominican Republic ,18
Ecuador ,12
Egypt ,14
El Salvador ,13
Equatorial Guinea ,15
Estonia ,20
Eswatini ,15
Ethiopia ,15
Fiji ,15
Finland ,24
France ,20
Gabon ,18
Georgia ,18
Germany ,19
Ghana ,15
Gibraltar ,
Greece ,24
Greenland ,
Guatemala ,12
Guernsey Channel Islands ,
Guyana ,14
Honduras ,15
Hong Kong SAR ,
Hungary ,27
Iceland ,24
India ,28
Indonesia ,11
Iraq ,
Ireland ,23
Isle of Man ,20
Israel ,17
Italy ,22
Ivory Coast ,18
Jamaica ,15
Japan ,10
Jersey Channel Islands ,5
Jordan ,16
Kazakhstan ,12
Kenya ,16
Korea Republic of ,10
Kosovo ,18
Kuwait ,
Kyrgyzstan ,12
Lao PDR ,10
Latvia ,21
Lebanon ,11
Libya ,
Liechtenstein ,7.7
Lithuania ,21
Luxembourg ,16
Macau SAR ,
Madagascar ,20
Malawi ,16.5
Malaysia ,10
Maldives Republic of ,16
Malta ,18
Mauritania ,16
Mauritius ,15
Mexico ,16
Moldova ,20
Mongolia ,10
Montenegro ,21
Morocco ,20
Mozambique ,16
Myanmar ,5
Namibia Republic of ,15
Netherlands ,21
New Zealand ,15
Nicaragua ,15
Nigeria ,7.5
North Macedonia ,18
Norway ,25
Oman ,5
Pakistan ,17
Palestinian territories ,16
Panama ,7
Papua New Guinea ,10
Paraguay ,10
Peru ,18
Philippines ,12
Poland ,23
Portugal ,23
Puerto Rico ,11.5
Qatar ,
Romania ,19
Rwanda ,18
Saint Lucia ,12.5
Saudi Arabia ,15
Senegal ,18
Serbia ,20
Singapore ,7
Slovak Republic ,20
Slovenia ,22
South Africa ,15
Spain ,21
Sri Lanka ,8
Sweden ,25
Switzerland ,7.7
Taiwan ,5
Tajikistan ,15
Tanzania ,18
Thailand ,7
Timor-Leste ,2.5
Trinidad and Tobago ,12.5
Tunisia ,19
Turkey ,18
Turkmenistan ,15
Uganda ,18
Ukraine ,20
United Arab Emirates ,5
United Kingdom ,20
United States ,15
Uruguay ,22
Uzbekistan Republic of ,15
Venezuela ,16
Vietnam ,10
Zambia ,16
Zimbabwe ,14.5
